min	max	count
50	50	77
51	51	2
52	52	3
53	53	1
54	54	3
55	55	2
56	56	4
57	57	1
58	58	4
59	59	4
60	60	3
61	61	5
62	62	4
63	63	2
64	64	4
65	65	6
66	66	2
67	67	1
68	68	5
69	69	3
70	70	1
71	71	4
72	72	2
73	73	8
74	74	2
75	75	4
76	76	5
77	77	3
78	78	1
79	79	3
80	80	2
81	81	1
82	82	5
83	83	3
84	84	2
85	85	3
86	86	5
87	87	6
88	88	8
89	89	4
90	90	3
91	91	4
92	92	6
93	93	5
94	94	4
95	95	5
96	96	8
97	97	6
98	98	6
99	99	7
100	100	3
101	101	8
102	102	2
103	103	2
104	104	7
105	105	6
106	106	6
107	107	2
108	108	4
109	109	3
110	110	11
111	111	3
112	112	9
113	113	4
114	114	6
115	115	5
116	116	5
117	117	6
118	118	7
119	119	6
120	120	6
121	121	8
122	122	9
123	123	5
124	124	4
125	125	6
126	126	5
127	127	7
128	128	6
129	129	4
130	130	4
131	131	5
132	132	4
133	133	5
134	134	4
135	135	5
136	136	4
137	137	2
138	138	4
139	139	3
140	140	7
141	141	3
142	142	4
143	143	4
144	144	4
145	145	8
146	146	7
147	147	5
148	148	4
149	149	9
150	150	4
151	151	7
152	152	7
153	153	4
154	154	4
155	155	5
156	156	7
157	157	6
158	158	5
159	159	8
160	160	3
161	161	5
162	162	7
163	163	5
164	164	6
165	165	4
166	166	5
167	167	1
168	168	7
169	169	4
170	170	8
171	171	8
172	172	7
173	173	7
174	174	3
175	175	7
176	176	4
177	177	2
178	178	6
179	179	8
180	180	7
181	181	3
182	182	5
183	183	3
184	184	3
185	185	4
186	186	5
187	187	2
188	188	5
189	189	10
190	190	5
191	191	4
192	192	8
193	193	3
194	194	3
195	195	9
196	196	2
197	197	3
198	198	7
199	199	3
200	200	6
201	201	5
202	202	5
203	203	4
204	204	7
205	205	5
206	206	4
207	207	3
208	208	2
209	209	5
210	210	4
211	211	4
212	212	4
213	213	4
214	214	3
215	215	2
216	216	4
217	217	5
218	218	0
219	219	2
220	220	2
221	221	4
222	222	3
223	223	5
224	224	5
225	225	4
226	226	4
227	227	3
228	228	4
229	229	1
230	230	5
231	231	2
232	232	1
233	233	6
234	234	2
235	235	3
236	236	4
237	237	3
238	238	0
239	239	1
240	240	5
241	241	2
242	242	2
243	243	5
244	244	2
245	245	1
246	246	2
247	247	2
248	248	3
249	249	5
250	250	1
251	251	2
252	252	0
253	253	0
254	254	1
255	255	2
256	256	1
257	257	2
258	258	1
259	259	0
260	260	2
261	261	0
262	262	0
263	263	1
264	264	2
265	265	0
266	266	1
267	267	1
268	268	1
269	269	2
270	270	1
271	271	1
272	272	0
273	273	2
274	274	2
275	275	1
276	276	2
277	277	0
278	278	2
279	279	1
280	280	0
281	281	0
282	282	3
283	283	1
284	284	2
285	285	1
286	286	0
287	287	0
288	288	0
289	289	0
290	290	1
291	291	0
292	292	0
293	293	1
294	294	2
295	295	0
296	296	0
297	297	0
298	298	1
299	299	1
300	300	0
301	301	0
302	302	0
303	303	0
304	304	0
305	305	1
306	306	0
307	307	0
308	308	0
309	309	1
310	310	0
311	311	0
312	312	0
313	313	0
314	314	0
315	315	0
316	316	0
317	317	0
318	318	0
319	319	1
320	320	0
321	321	0
322	322	0
323	323	0
324	324	0
325	325	0
326	326	1
327	327	0
328	328	0
329	329	1
330	330	0
331	331	0
332	332	0
333	333	0
334	334	0
335	335	0
336	336	0
337	337	0
338	338	0
339	339	0
340	340	0
341	341	0
342	342	0
343	343	0
344	344	0
345	345	0
346	346	0
347	347	0
348	348	1
