min	max	count
50	50	8
51	51	0
52	52	0
53	53	0
54	54	0
55	55	0
56	56	0
57	57	2
58	58	1
59	59	0
60	60	0
61	61	0
62	62	2
63	63	2
64	64	1
65	65	0
66	66	0
67	67	1
68	68	0
69	69	2
70	70	1
71	71	0
72	72	0
73	73	0
74	74	0
75	75	1
76	76	0
77	77	2
78	78	1
79	79	1
80	80	2
81	81	3
82	82	0
83	83	2
84	84	0
85	85	1
86	86	0
87	87	4
88	88	2
89	89	0
90	90	0
91	91	2
92	92	2
93	93	3
94	94	4
95	95	0
96	96	3
97	97	1
98	98	3
99	99	3
100	100	2
101	101	3
102	102	3
103	103	7
104	104	2
105	105	0
106	106	3
107	107	3
108	108	3
109	109	5
110	110	5
111	111	5
112	112	8
113	113	8
114	114	4
115	115	5
116	116	4
117	117	4
118	118	4
119	119	0
120	120	3
121	121	6
122	122	7
123	123	7
124	124	3
125	125	9
126	126	9
127	127	2
128	128	1
129	129	5
130	130	4
131	131	6
132	132	2
133	133	8
134	134	10
135	135	7
136	136	7
137	137	8
138	138	5
139	139	7
140	140	5
141	141	9
142	142	11
143	143	12
144	144	6
145	145	5
146	146	5
147	147	6
148	148	10
149	149	6
150	150	8
151	151	5
152	152	4
153	153	9
154	154	8
155	155	10
156	156	12
157	157	6
158	158	12
159	159	16
160	160	5
161	161	8
162	162	11
163	163	13
164	164	8
165	165	7
166	166	4
167	167	12
168	168	12
169	169	9
170	170	12
171	171	14
172	172	10
173	173	8
174	174	9
175	175	7
176	176	8
177	177	6
178	178	11
179	179	6
180	180	14
181	181	8
182	182	9
183	183	4
184	184	14
185	185	5
186	186	10
187	187	5
188	188	5
189	189	7
190	190	4
191	191	15
192	192	6
193	193	7
194	194	3
195	195	6
196	196	4
197	197	10
198	198	5
199	199	3
200	200	3
201	201	3
202	202	6
203	203	11
204	204	4
205	205	5
206	206	3
207	207	7
208	208	6
209	209	5
210	210	9
211	211	3
212	212	2
213	213	8
214	214	4
215	215	5
216	216	10
217	217	5
218	218	7
219	219	9
220	220	10
221	221	8
222	222	5
223	223	7
224	224	6
225	225	7
226	226	3
227	227	5
228	228	2
229	229	3
230	230	4
231	231	0
232	232	5
233	233	3
234	234	4
235	235	6
236	236	0
237	237	1
238	238	6
239	239	0
240	240	6
241	241	2
242	242	3
243	243	3
244	244	5
245	245	1
246	246	1
247	247	1
248	248	1
249	249	2
250	250	2
251	251	1
252	252	3
253	253	2
254	254	3
255	255	0
256	256	1
257	257	2
258	258	2
259	259	2
260	260	2
261	261	2
262	262	1
263	263	1
264	264	0
265	265	0
266	266	0
267	267	0
268	268	1
269	269	0
270	270	0
271	271	1
272	272	1
273	273	0
274	274	0
275	275	0
276	276	0
277	277	0
278	278	1
279	279	0
280	280	0
281	281	0
282	282	0
283	283	0
284	284	0
285	285	0
286	286	0
287	287	0
288	288	0
289	289	0
290	290	0
291	291	0
292	292	0
293	293	0
294	294	0
295	295	0
296	296	0
297	297	0
298	298	1
299	299	0
300	300	0
301	301	0
302	302	1
303	303	0
304	304	0
305	305	0
306	306	0
307	307	0
308	308	0
309	309	0
310	310	0
311	311	0
312	312	0
313	313	0
314	314	0
315	315	0
316	316	0
317	317	1
318	318	0
319	319	0
320	320	0
321	321	0
322	322	0
323	323	0
324	324	0
325	325	0
326	326	0
327	327	0
328	328	0
329	329	0
330	330	0
331	331	0
332	332	0
333	333	0
334	334	0
335	335	0
336	336	0
337	337	1
