min	max	count
50	50	71
51	51	2
52	52	1
53	53	1
54	54	0
55	55	5
56	56	2
57	57	1
58	58	3
59	59	3
60	60	2
61	61	2
62	62	2
63	63	1
64	64	3
65	65	5
66	66	2
67	67	4
68	68	3
69	69	2
70	70	5
71	71	1
72	72	4
73	73	1
74	74	3
75	75	5
76	76	3
77	77	1
78	78	2
79	79	2
80	80	5
81	81	3
82	82	3
83	83	2
84	84	5
85	85	7
86	86	8
87	87	5
88	88	8
89	89	2
90	90	2
91	91	4
92	92	6
93	93	5
94	94	2
95	95	7
96	96	3
97	97	5
98	98	4
99	99	4
100	100	5
101	101	4
102	102	4
103	103	4
104	104	7
105	105	11
106	106	5
107	107	2
108	108	6
109	109	4
110	110	3
111	111	10
112	112	4
113	113	9
114	114	7
115	115	4
116	116	4
117	117	5
118	118	6
119	119	5
120	120	5
121	121	2
122	122	9
123	123	8
124	124	8
125	125	4
126	126	2
127	127	8
128	128	3
129	129	6
130	130	5
131	131	4
132	132	9
133	133	4
134	134	4
135	135	6
136	136	7
137	137	7
138	138	9
139	139	5
140	140	7
141	141	5
142	142	4
143	143	8
144	144	3
145	145	8
146	146	6
147	147	6
148	148	9
149	149	4
150	150	7
151	151	10
152	152	6
153	153	6
154	154	8
155	155	6
156	156	2
157	157	9
158	158	6
159	159	7
160	160	7
161	161	8
162	162	4
163	163	3
164	164	11
165	165	5
166	166	4
167	167	6
168	168	7
169	169	5
170	170	5
171	171	9
172	172	6
173	173	4
174	174	5
175	175	7
176	176	4
177	177	6
178	178	10
179	179	4
180	180	5
181	181	3
182	182	3
183	183	10
184	184	7
185	185	4
186	186	8
187	187	5
188	188	6
189	189	4
190	190	4
191	191	4
192	192	7
193	193	6
194	194	6
195	195	4
196	196	8
197	197	7
198	198	3
199	199	2
200	200	2
201	201	8
202	202	3
203	203	2
204	204	3
205	205	5
206	206	3
207	207	7
208	208	3
209	209	7
210	210	5
211	211	3
212	212	3
213	213	5
214	214	2
215	215	3
216	216	3
217	217	3
218	218	1
219	219	2
220	220	1
221	221	2
222	222	4
223	223	3
224	224	2
225	225	4
226	226	2
227	227	7
228	228	2
229	229	1
230	230	1
231	231	0
232	232	3
233	233	1
234	234	2
235	235	2
236	236	1
237	237	3
238	238	3
239	239	4
240	240	3
241	241	2
242	242	1
243	243	2
244	244	2
245	245	1
246	246	0
247	247	3
248	248	1
249	249	2
250	250	0
251	251	1
252	252	2
253	253	2
254	254	1
255	255	0
256	256	1
257	257	2
258	258	1
259	259	1
260	260	2
261	261	4
262	262	0
263	263	1
264	264	0
265	265	2
266	266	3
267	267	2
268	268	1
269	269	0
270	270	2
271	271	1
272	272	2
273	273	0
274	274	0
275	275	2
276	276	0
277	277	0
278	278	0
279	279	1
280	280	0
281	281	2
282	282	1
283	283	0
284	284	2
285	285	0
286	286	1
287	287	0
288	288	1
289	289	1
290	290	1
291	291	0
292	292	1
293	293	0
294	294	0
295	295	1
296	296	0
297	297	0
298	298	0
299	299	1
300	300	0
301	301	0
302	302	0
303	303	1
304	304	0
305	305	0
306	306	0
307	307	0
308	308	0
309	309	0
310	310	0
311	311	0
312	312	0
313	313	2
314	314	0
315	315	0
316	316	0
317	317	0
318	318	0
319	319	0
320	320	0
321	321	0
322	322	0
323	323	0
324	324	1
325	325	0
326	326	0
327	327	0
328	328	0
329	329	0
330	330	0
331	331	0
332	332	0
333	333	0
334	334	0
335	335	0
336	336	0
337	337	0
338	338	0
339	339	1
340	340	0
341	341	0
342	342	1
343	343	0
344	344	0
345	345	0
346	346	0
347	347	0
348	348	0
349	349	0
350	350	0
351	351	0
352	352	0
353	353	0
354	354	0
355	355	0
356	356	0
357	357	0
358	358	0
359	359	0
360	360	0
361	361	0
362	362	0
363	363	0
364	364	0
365	365	0
366	366	0
367	367	0
368	368	0
369	369	0
370	370	0
371	371	0
372	372	0
373	373	0
374	374	0
375	375	0
376	376	0
377	377	0
378	378	0
379	379	0
380	380	0
381	381	0
382	382	0
383	383	0
384	384	0
385	385	0
386	386	0
387	387	0
388	388	0
389	389	0
390	390	0
391	391	0
392	392	0
393	393	0
394	394	0
395	395	0
396	396	0
397	397	0
398	398	0
399	399	0
400	400	1
