min	max	count
50	50	19
51	51	0
52	52	0
53	53	1
54	54	1
55	55	2
56	56	2
57	57	1
58	58	0
59	59	1
60	60	2
61	61	1
62	62	2
63	63	1
64	64	1
65	65	0
66	66	3
67	67	4
68	68	0
69	69	2
70	70	3
71	71	1
72	72	1
73	73	4
74	74	6
75	75	1
76	76	3
77	77	4
78	78	1
79	79	5
80	80	3
81	81	5
82	82	1
83	83	2
84	84	1
85	85	2
86	86	4
87	87	6
88	88	3
89	89	2
90	90	2
91	91	2
92	92	7
93	93	1
94	94	5
95	95	1
96	96	4
97	97	5
98	98	4
99	99	2
100	100	2
101	101	7
102	102	2
103	103	7
104	104	4
105	105	5
106	106	1
107	107	2
108	108	7
109	109	6
110	110	5
111	111	1
112	112	3
113	113	3
114	114	7
115	115	9
116	116	1
117	117	4
118	118	6
119	119	10
120	120	4
121	121	4
122	122	5
123	123	3
124	124	4
125	125	3
126	126	5
127	127	4
128	128	6
129	129	5
130	130	9
131	131	8
132	132	8
133	133	7
134	134	4
135	135	2
136	136	8
137	137	6
138	138	12
139	139	7
140	140	9
141	141	2
142	142	6
143	143	6
144	144	8
145	145	11
146	146	5
147	147	8
148	148	4
149	149	7
150	150	8
151	151	13
152	152	6
153	153	6
154	154	9
155	155	9
156	156	11
157	157	11
158	158	8
159	159	8
160	160	6
161	161	10
162	162	8
163	163	6
164	164	7
165	165	11
166	166	5
167	167	5
168	168	8
169	169	11
170	170	10
171	171	6
172	172	8
173	173	3
174	174	9
175	175	4
176	176	7
177	177	5
178	178	6
179	179	12
180	180	10
181	181	7
182	182	9
183	183	4
184	184	9
185	185	10
186	186	5
187	187	3
188	188	7
189	189	9
190	190	6
191	191	5
192	192	4
193	193	2
194	194	6
195	195	8
196	196	2
197	197	4
198	198	7
199	199	4
200	200	6
201	201	7
202	202	10
203	203	9
204	204	4
205	205	7
206	206	3
207	207	3
208	208	3
209	209	3
210	210	7
211	211	2
212	212	5
213	213	5
214	214	4
215	215	5
216	216	7
217	217	4
218	218	5
219	219	5
220	220	2
221	221	6
222	222	7
223	223	2
224	224	2
225	225	5
226	226	0
227	227	4
228	228	3
229	229	3
230	230	1
231	231	2
232	232	2
233	233	3
234	234	0
235	235	0
236	236	2
237	237	6
238	238	2
239	239	1
240	240	2
241	241	3
242	242	3
243	243	1
244	244	1
245	245	2
246	246	5
247	247	2
248	248	1
249	249	2
250	250	4
251	251	3
252	252	0
253	253	1
254	254	3
255	255	1
256	256	1
257	257	1
258	258	2
259	259	1
260	260	2
261	261	1
262	262	0
263	263	1
264	264	1
265	265	0
266	266	0
267	267	0
268	268	3
269	269	0
270	270	3
271	271	1
272	272	1
273	273	2
274	274	1
275	275	1
276	276	1
277	277	0
278	278	0
279	279	0
280	280	1
281	281	0
282	282	2
283	283	1
284	284	0
285	285	1
286	286	2
287	287	0
288	288	0
289	289	1
290	290	1
291	291	1
292	292	1
293	293	1
294	294	0
295	295	0
296	296	1
297	297	0
298	298	0
299	299	0
300	300	0
301	301	1
302	302	1
303	303	0
304	304	0
305	305	0
306	306	0
307	307	0
308	308	1
309	309	2
310	310	0
311	311	0
312	312	0
313	313	1
314	314	0
315	315	0
316	316	0
317	317	2
318	318	0
319	319	0
320	320	0
321	321	0
322	322	0
323	323	0
324	324	0
325	325	0
326	326	0
327	327	0
328	328	0
329	329	0
330	330	0
331	331	1
332	332	0
333	333	0
334	334	0
335	335	0
336	336	0
337	337	0
338	338	0
339	339	0
340	340	0
341	341	0
342	342	1
