min	max	count
50	50	79
51	51	0
52	52	1
53	53	3
54	54	1
55	55	4
56	56	1
57	57	5
58	58	4
59	59	2
60	60	5
61	61	4
62	62	0
63	63	3
64	64	5
65	65	2
66	66	4
67	67	2
68	68	2
69	69	5
70	70	2
71	71	2
72	72	4
73	73	5
74	74	2
75	75	2
76	76	8
77	77	4
78	78	3
79	79	3
80	80	3
81	81	6
82	82	3
83	83	1
84	84	4
85	85	9
86	86	6
87	87	4
88	88	3
89	89	5
90	90	4
91	91	4
92	92	5
93	93	2
94	94	2
95	95	8
96	96	4
97	97	3
98	98	4
99	99	7
100	100	4
101	101	7
102	102	1
103	103	3
104	104	5
105	105	7
106	106	6
107	107	4
108	108	5
109	109	7
110	110	5
111	111	4
112	112	5
113	113	6
114	114	7
115	115	8
116	116	3
117	117	6
118	118	7
119	119	13
120	120	10
121	121	0
122	122	2
123	123	9
124	124	5
125	125	7
126	126	7
127	127	2
128	128	6
129	129	4
130	130	3
131	131	12
132	132	5
133	133	2
134	134	8
135	135	7
136	136	11
137	137	7
138	138	1
139	139	12
140	140	6
141	141	3
142	142	5
143	143	7
144	144	5
145	145	6
146	146	2
147	147	8
148	148	15
149	149	7
150	150	3
151	151	9
152	152	6
153	153	3
154	154	9
155	155	4
156	156	5
157	157	8
158	158	4
159	159	4
160	160	6
161	161	6
162	162	7
163	163	4
164	164	3
165	165	4
166	166	3
167	167	3
168	168	6
169	169	2
170	170	5
171	171	5
172	172	5
173	173	3
174	174	7
175	175	5
176	176	6
177	177	4
178	178	4
179	179	5
180	180	2
181	181	7
182	182	3
183	183	7
184	184	7
185	185	3
186	186	5
187	187	4
188	188	7
189	189	7
190	190	7
191	191	4
192	192	5
193	193	10
194	194	6
195	195	1
196	196	0
197	197	6
198	198	3
199	199	3
200	200	4
201	201	0
202	202	1
203	203	3
204	204	3
205	205	6
206	206	2
207	207	6
208	208	2
209	209	4
210	210	6
211	211	5
212	212	4
213	213	2
214	214	2
215	215	4
216	216	3
217	217	3
218	218	7
219	219	3
220	220	6
221	221	1
222	222	3
223	223	1
224	224	5
225	225	2
226	226	7
227	227	3
228	228	0
229	229	2
230	230	3
231	231	2
232	232	2
233	233	1
234	234	5
235	235	2
236	236	4
237	237	4
238	238	1
239	239	6
240	240	2
241	241	0
242	242	1
243	243	2
244	244	5
245	245	1
246	246	2
247	247	0
248	248	1
249	249	1
250	250	0
251	251	3
252	252	3
253	253	1
254	254	2
255	255	4
256	256	2
257	257	3
258	258	0
259	259	3
260	260	1
261	261	0
262	262	1
263	263	4
264	264	1
265	265	1
266	266	1
267	267	1
268	268	1
269	269	0
270	270	0
271	271	1
272	272	2
273	273	2
274	274	1
275	275	0
276	276	2
277	277	0
278	278	0
279	279	0
280	280	0
281	281	2
282	282	2
283	283	0
284	284	0
285	285	0
286	286	2
287	287	0
288	288	0
289	289	1
290	290	0
291	291	1
292	292	0
293	293	0
294	294	1
295	295	0
296	296	0
297	297	0
298	298	1
299	299	1
300	300	0
301	301	1
302	302	0
303	303	0
304	304	1
305	305	1
306	306	0
307	307	0
308	308	0
309	309	0
310	310	0
311	311	0
312	312	0
313	313	0
314	314	0
315	315	1
316	316	1
317	317	0
318	318	0
319	319	1
320	320	0
321	321	0
322	322	0
323	323	0
324	324	0
325	325	0
326	326	1
327	327	0
328	328	1
