min	max	count
50	50	6
51	51	0
52	52	0
53	53	1
54	54	0
55	55	0
56	56	0
57	57	0
58	58	1
59	59	0
60	60	0
61	61	0
62	62	0
63	63	1
64	64	0
65	65	1
66	66	1
67	67	0
68	68	0
69	69	1
70	70	1
71	71	2
72	72	2
73	73	0
74	74	1
75	75	0
76	76	1
77	77	1
78	78	0
79	79	1
80	80	1
81	81	2
82	82	1
83	83	1
84	84	2
85	85	2
86	86	1
87	87	1
88	88	3
89	89	2
90	90	2
91	91	2
92	92	1
93	93	6
94	94	1
95	95	1
96	96	1
97	97	4
98	98	3
99	99	7
100	100	3
101	101	0
102	102	3
103	103	5
104	104	4
105	105	2
106	106	5
107	107	4
108	108	6
109	109	4
110	110	1
111	111	1
112	112	2
113	113	3
114	114	2
115	115	5
116	116	3
117	117	4
118	118	5
119	119	2
120	120	3
121	121	4
122	122	3
123	123	6
124	124	4
125	125	9
126	126	6
127	127	4
128	128	6
129	129	7
130	130	4
131	131	5
132	132	4
133	133	5
134	134	4
135	135	8
136	136	7
137	137	4
138	138	4
139	139	4
140	140	6
141	141	13
142	142	6
143	143	7
144	144	10
145	145	10
146	146	10
147	147	4
148	148	8
149	149	8
150	150	7
151	151	15
152	152	8
153	153	5
154	154	11
155	155	7
156	156	11
157	157	9
158	158	9
159	159	10
160	160	14
161	161	8
162	162	12
163	163	9
164	164	10
165	165	7
166	166	6
167	167	8
168	168	7
169	169	13
170	170	6
171	171	4
172	172	12
173	173	8
174	174	6
175	175	7
176	176	11
177	177	14
178	178	9
179	179	7
180	180	11
181	181	9
182	182	5
183	183	6
184	184	14
185	185	5
186	186	8
187	187	11
188	188	10
189	189	11
190	190	2
191	191	5
192	192	13
193	193	5
194	194	7
195	195	5
196	196	7
197	197	13
198	198	14
199	199	6
200	200	9
201	201	11
202	202	11
203	203	8
204	204	6
205	205	5
206	206	5
207	207	5
208	208	6
209	209	5
210	210	5
211	211	8
212	212	7
213	213	7
214	214	3
215	215	4
216	216	4
217	217	3
218	218	4
219	219	5
220	220	5
221	221	4
222	222	0
223	223	7
224	224	5
225	225	3
226	226	6
227	227	3
228	228	5
229	229	4
230	230	3
231	231	1
232	232	2
233	233	5
234	234	1
235	235	3
236	236	4
237	237	4
238	238	3
239	239	1
240	240	1
241	241	2
242	242	2
243	243	3
244	244	1
245	245	3
246	246	1
247	247	2
248	248	2
249	249	3
250	250	0
251	251	3
252	252	1
253	253	3
254	254	2
255	255	2
256	256	0
257	257	1
258	258	1
259	259	3
260	260	3
261	261	2
262	262	2
263	263	1
264	264	0
265	265	1
266	266	0
267	267	3
268	268	1
269	269	0
270	270	1
271	271	1
272	272	0
273	273	0
274	274	0
275	275	0
276	276	0
277	277	1
278	278	0
279	279	0
280	280	0
281	281	0
282	282	1
283	283	0
284	284	1
285	285	1
286	286	1
287	287	2
288	288	0
289	289	1
290	290	0
291	291	0
292	292	0
293	293	0
294	294	0
295	295	0
296	296	0
297	297	0
298	298	0
299	299	0
300	300	1
301	301	0
302	302	0
303	303	0
304	304	0
305	305	0
306	306	0
307	307	0
308	308	0
309	309	0
310	310	0
311	311	0
312	312	0
313	313	0
314	314	0
315	315	0
316	316	0
317	317	0
318	318	0
319	319	0
320	320	0
321	321	0
322	322	0
323	323	0
324	324	1
