min	max	count
50	50	20
51	51	2
52	52	4
53	53	2
54	54	0
55	55	1
56	56	0
57	57	1
58	58	2
59	59	2
60	60	0
61	61	2
62	62	1
63	63	1
64	64	4
65	65	1
66	66	3
67	67	2
68	68	1
69	69	3
70	70	5
71	71	2
72	72	3
73	73	2
74	74	3
75	75	2
76	76	2
77	77	1
78	78	3
79	79	5
80	80	4
81	81	2
82	82	1
83	83	0
84	84	3
85	85	1
86	86	2
87	87	4
88	88	1
89	89	0
90	90	1
91	91	4
92	92	1
93	93	9
94	94	4
95	95	3
96	96	2
97	97	2
98	98	3
99	99	3
100	100	3
101	101	5
102	102	4
103	103	4
104	104	5
105	105	3
106	106	2
107	107	4
108	108	9
109	109	7
110	110	10
111	111	8
112	112	3
113	113	3
114	114	5
115	115	5
116	116	4
117	117	6
118	118	10
119	119	7
120	120	2
121	121	6
122	122	7
123	123	3
124	124	4
125	125	8
126	126	8
127	127	8
128	128	3
129	129	6
130	130	11
131	131	9
132	132	9
133	133	6
134	134	8
135	135	3
136	136	6
137	137	8
138	138	7
139	139	8
140	140	11
141	141	7
142	142	12
143	143	3
144	144	7
145	145	5
146	146	10
147	147	10
148	148	9
149	149	6
150	150	7
151	151	5
152	152	9
153	153	4
154	154	5
155	155	3
156	156	7
157	157	10
158	158	12
159	159	4
160	160	8
161	161	13
162	162	6
163	163	12
164	164	3
165	165	5
166	166	12
167	167	7
168	168	9
169	169	10
170	170	9
171	171	12
172	172	9
173	173	4
174	174	7
175	175	8
176	176	7
177	177	6
178	178	5
179	179	8
180	180	8
181	181	8
182	182	7
183	183	4
184	184	7
185	185	8
186	186	8
187	187	8
188	188	7
189	189	4
190	190	1
191	191	6
192	192	7
193	193	1
194	194	7
195	195	5
196	196	9
197	197	7
198	198	3
199	199	3
200	200	8
201	201	0
202	202	7
203	203	3
204	204	2
205	205	6
206	206	5
207	207	3
208	208	4
209	209	10
210	210	1
211	211	1
212	212	4
213	213	5
214	214	4
215	215	2
216	216	3
217	217	6
218	218	2
219	219	3
220	220	4
221	221	2
222	222	6
223	223	2
224	224	1
225	225	5
226	226	3
227	227	1
228	228	5
229	229	3
230	230	5
231	231	2
232	232	7
233	233	3
234	234	7
235	235	2
236	236	2
237	237	2
238	238	2
239	239	4
240	240	2
241	241	1
242	242	1
243	243	3
244	244	1
245	245	3
246	246	1
247	247	2
248	248	2
249	249	1
250	250	3
251	251	1
252	252	2
253	253	4
254	254	0
255	255	1
256	256	4
257	257	1
258	258	0
259	259	0
260	260	0
261	261	0
262	262	1
263	263	0
264	264	1
265	265	1
266	266	1
267	267	4
268	268	0
269	269	2
270	270	2
271	271	1
272	272	0
273	273	0
274	274	1
275	275	1
276	276	1
277	277	0
278	278	1
279	279	0
280	280	0
281	281	1
282	282	1
283	283	0
284	284	0
285	285	0
286	286	0
287	287	0
288	288	0
289	289	1
290	290	2
291	291	0
292	292	1
293	293	1
294	294	0
295	295	0
296	296	0
297	297	0
298	298	0
299	299	0
300	300	0
301	301	0
302	302	1
303	303	0
304	304	0
305	305	0
306	306	1
307	307	1
308	308	1
309	309	0
310	310	0
311	311	0
312	312	0
313	313	0
314	314	0
315	315	0
316	316	0
317	317	0
318	318	0
319	319	0
320	320	0
321	321	0
322	322	0
323	323	0
324	324	0
325	325	0
326	326	0
327	327	0
328	328	0
329	329	0
330	330	0
331	331	0
332	332	0
333	333	0
334	334	0
335	335	0
336	336	0
337	337	0
338	338	0
339	339	0
340	340	0
341	341	0
342	342	0
343	343	0
344	344	0
345	345	0
346	346	0
347	347	0
348	348	0
349	349	0
350	350	0
351	351	0
352	352	0
353	353	0
354	354	0
355	355	0
356	356	0
357	357	0
358	358	0
359	359	0
360	360	0
361	361	0
362	362	0
363	363	0
364	364	1
