min	max	count
50	50	24
51	51	0
52	52	0
53	53	2
54	54	0
55	55	1
56	56	1
57	57	4
58	58	2
59	59	0
60	60	0
61	61	2
62	62	1
63	63	3
64	64	3
65	65	2
66	66	1
67	67	2
68	68	5
69	69	2
70	70	2
71	71	4
72	72	3
73	73	2
74	74	3
75	75	0
76	76	2
77	77	3
78	78	2
79	79	2
80	80	3
81	81	4
82	82	2
83	83	2
84	84	6
85	85	3
86	86	0
87	87	4
88	88	3
89	89	4
90	90	2
91	91	2
92	92	3
93	93	5
94	94	1
95	95	5
96	96	3
97	97	3
98	98	1
99	99	1
100	100	1
101	101	7
102	102	5
103	103	1
104	104	7
105	105	4
106	106	4
107	107	10
108	108	7
109	109	4
110	110	5
111	111	3
112	112	5
113	113	5
114	114	3
115	115	9
116	116	6
117	117	5
118	118	5
119	119	3
120	120	6
121	121	6
122	122	10
123	123	5
124	124	8
125	125	3
126	126	8
127	127	2
128	128	10
129	129	6
130	130	6
131	131	11
132	132	9
133	133	7
134	134	10
135	135	11
136	136	11
137	137	5
138	138	9
139	139	9
140	140	2
141	141	4
142	142	5
143	143	7
144	144	9
145	145	6
146	146	8
147	147	13
148	148	2
149	149	4
150	150	3
151	151	7
152	152	6
153	153	16
154	154	9
155	155	5
156	156	5
157	157	4
158	158	9
159	159	8
160	160	8
161	161	8
162	162	8
163	163	10
164	164	9
165	165	6
166	166	7
167	167	2
168	168	5
169	169	2
170	170	5
171	171	9
172	172	10
173	173	11
174	174	8
175	175	9
176	176	9
177	177	5
178	178	7
179	179	8
180	180	3
181	181	8
182	182	8
183	183	6
184	184	7
185	185	6
186	186	5
187	187	8
188	188	5
189	189	6
190	190	7
191	191	4
192	192	8
193	193	5
194	194	3
195	195	5
196	196	3
197	197	4
198	198	6
199	199	8
200	200	8
201	201	6
202	202	9
203	203	3
204	204	2
205	205	3
206	206	3
207	207	6
208	208	2
209	209	5
210	210	1
211	211	1
212	212	4
213	213	5
214	214	3
215	215	6
216	216	13
217	217	3
218	218	4
219	219	3
220	220	1
221	221	4
222	222	4
223	223	7
224	224	1
225	225	4
226	226	3
227	227	2
228	228	4
229	229	3
230	230	3
231	231	0
232	232	4
233	233	0
234	234	4
235	235	1
236	236	5
237	237	3
238	238	2
239	239	4
240	240	2
241	241	4
242	242	5
243	243	2
244	244	1
245	245	3
246	246	1
247	247	4
248	248	4
249	249	1
250	250	2
251	251	0
252	252	3
253	253	1
254	254	1
255	255	1
256	256	3
257	257	0
258	258	0
259	259	1
260	260	1
261	261	1
262	262	0
263	263	5
264	264	0
265	265	0
266	266	1
267	267	2
268	268	0
269	269	1
270	270	0
271	271	1
272	272	2
273	273	0
274	274	3
275	275	1
276	276	0
277	277	1
278	278	1
279	279	0
280	280	0
281	281	0
282	282	1
283	283	0
284	284	0
285	285	0
286	286	1
287	287	0
288	288	0
289	289	0
290	290	1
291	291	1
292	292	1
293	293	2
294	294	0
295	295	0
296	296	0
297	297	0
298	298	0
299	299	0
300	300	0
301	301	0
302	302	0
303	303	0
304	304	0
305	305	0
306	306	0
307	307	0
308	308	1
309	309	0
310	310	1
311	311	1
312	312	0
313	313	1
314	314	0
315	315	0
316	316	0
317	317	1
318	318	0
319	319	0
320	320	0
321	321	1
